destination_id,title,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
0,Boudhanath Stupa,['Religious Sites'],True,True,False,False,False,False,False,False,True
1,Phewa Tal (Fewa Lake),['Bodies of Water'],False,False,True,False,False,False,False,False,False
2,Sarangkot,['Mountains'],False,False,True,False,False,False,False,False,False
3,Swayambhunath Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
4,Poon Hill,['Mountains'],False,False,True,False,False,False,False,False,False
5,Peace Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
6,Pashupatinath Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
7,Durbar (Central) Square,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
8,Chandragiri Hills,['Mountains'],False,False,True,False,False,False,False,False,False
9,Mount Everest,['Mountains'],False,False,True,False,False,False,False,False,False
10,Begnas Lake,['Bodies of Water'],False,False,True,False,False,False,False,False,False
11,Golden Temple (Hiranya Varna Mahavihar),['Religious Sites'],True,True,False,False,False,False,False,False,True
12,Patan Museum,['Art Museums'],True,True,False,False,False,False,False,False,False
13,International Mountain Museum,['Speciality Museums'],False,False,False,False,False,False,False,False,False
14,Bhaktapur Durbar Square,"['Ancient Ruins', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False
15,Narayani River,['Bodies of Water'],False,False,True,False,False,False,False,False,False
16,Kopan Monastery,['Religious Sites'],True,True,False,False,False,False,False,False,True
17,Thamel,['Neighborhoods'],False,False,False,False,False,False,False,False,False
18,Nagarkot Panoramic Hiking Trail,['Hiking Trails'],False,False,True,True,False,False,False,False,False
19,Gokyo Lakes,['Bodies of Water'],False,False,True,False,False,False,False,False,False
20,Patan Durbar Square,"['Points of Interest & Landmarks', 'Historic Walking Areas']",True,True,True,False,False,False,False,False,False
21,Garden of Dreams,['Gardens'],False,False,False,False,False,False,False,False,False
22,Namo Buddha (Stupa),"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False
23,Polar Trekking & Expedition  - Day Tours,"['Parasailing & Paragliding', 'River Rafting & Tubing']",False,False,False,True,False,False,False,False,False
24,Kathmandu Durbar Square,"['Historic Sites', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False
25,Chitwan National Park,"['National Parks', 'Nature & Wildlife Areas']",False,False,True,False,False,False,False,False,False
26,Gupteswar Gupha,['Caverns & Caves'],False,False,True,False,False,False,False,False,False
27,Trisuli River,['Bodies of Water'],False,False,True,False,False,False,False,False,False
28,Devi's Fall,['Waterfalls'],False,False,False,False,False,False,False,False,False
29,Gurkha Memorial Museum,['History Museums'],True,True,False,False,False,False,False,False,False
30,Muktinath Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
31,Barahi temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
32,Maya Devi Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
33,Annapurna Base Camp Trek,['Hiking Trails'],False,False,True,True,False,False,False,False,False
34,Annapurna Mountain Range,"['Mountains', 'Hiking Trails']",False,False,True,False,False,False,False,False,False
35,Bindhya Basini Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
36,Kala Patthar,['Mountains'],False,False,True,False,False,False,False,False,False
37,Asan,['Flea & Street Markets'],False,False,False,False,True,False,False,False,False
38,Bishazari Tal,['Bodies of Water'],False,False,True,False,False,False,False,False,False
39,Jomsom Muktinath Trek,['Hiking Trails'],False,False,True,True,False,False,False,False,False
40,Shivapuri Nagarjun National Park,['National Parks'],False,False,True,False,False,False,False,False,False
41,Mahaboudha Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
42,Kailashnath Mahadev,['Monuments & Statues'],True,True,False,False,False,False,False,False,True
43,Dakshinkali Temple,['Religious Sites'],True,True,False,False,False,False,False,False,True
44,Budhanilkantha,['Religious Sites'],True,True,False,False,False,False,False,False,True
45,Krisnhna Mandir Temple (Chayasim Deval),"['Historic Sites', 'Religious Sites']",True,True,False,False,False,False,False,False,False
46,Jangchub Choeling Tibetan Monastery,['Religious Sites'],True,True,False,False,False,False,False,False,True
47,Nagarkot Nature Trail,"['Nature & Wildlife Areas', 'Hiking Trails']",False,False,True,True,False,False,False,False,False
